#,Type,Name,Subtitle,Tier,Genre,Base,Flavor Text,Mecha Slot Passive,Size,Charges,Passive,Active,Ultimate
111,Accessory,Drill Pendant,,3,Mecha,End +2,This drill-shaped pendant is used in some universes as a mech's ignition switch. It also has a habit of IGNITING YOUR FIERY SOUL!!!,,,,"Mech Key - At the end of your turn, while in a mech you regain HP equal to your End or Imag","Over-Confident Override - Action, 2PP - You can attempt to override a mech with your own willpower. Make a contested Moxie check against a Mech. If this succeeds, you act as the mech's pilot","Galaxy-Flinger - Free Action - If you are piloting a mech, add 3 to its size class and damage rolls until the end of combat"
112,Accessory,Element-C Ball,,2,Mecha,Agi +1,"The sphere acts as a containment chamber for a limited supply of the rare Element Cavorite. When activated, it's capable of locally nullifying gravity, but take care not to use it all up. ",,,,"Cavorite Descent - Whenever you take fall damage, reduce it by your Agi","Cavorite Ascent - Action, 2PP - An object you touch ignores gravity for up to 1 hour. The size is limited to car size or smaller","Cavorite Field - Free Action - All objects within 10 spaces ignore gravity for up to 12 hours. on a Know check of 2 or less successes against your threshold, characters won't know how to navigate weightlessly in 3D space."
113,Accessory,Starlight,Romance,5,Slice of Life,Imag +4,"If you gather a small star, you will seize a small amount of happiness.
If you gather a large star, you will seize a large amount of wealth.
If you gather them both, you will seize an eternal wish.
And it shall be bestowed upon you, the Star which you have longed for.",,,,"To Pluck A Small Star - Happiness comes easily to you and those around you, decreasing the threshold of any checks to comfort or entertain someone by 2","To Pluck A Large One - Free Action, 5PP - When loot is dropped, double the value or quantity","To Pluck Them Both - Free Action - You and one ally wish upon the stars, and both wishes are granted. This item is then destroyed."
114,Accessory,Shield of Time,,5,Art,DDR 5,"Each grain of sand in an hourglass, a moment frozen in time. They fall, one by one, and that flow is the time you experience. But if I flip the hourglass and give it a shake, what happens then? Are the moments gone, or do others take their place?",,,,Hammerspace - This item possesses infinite extradimensional storage with a maximum opening equal to your size class,"Timeline Pause - Free Action, 5PP -Take a turn after this one, attacks add Threshold Reduction 3. This can be used up to twice per round","Timeline Reset - Free Action - You go back in time one month, effectively returning to the same spot, but able to make small changes to causality along the way. In combat, you can reposition your allies and enemies, with the last roll's result being either maximized or minimized. Out of combat, you can influence events to end up as you want them to."
115,Accessory,Shield of the Four Heroes,,2,Action,DR 2,"The weapon of a distant land's hero, it's designed to shift and grow alongside them.",,,,"Cardinal Weapon - You may destroy another accessory in your inventory, replacing this item's Passive, Active, or Ultimate with the corresponding one of the destroyed item. ","Shield Prison - Action, 2PP - You encapsulate an area with up to a 4-wide dome, which has a Threshold of 2 and 50 HP, which lasts until dispelled or destroyed","World Rage - Action - Make an attack with Cone 12, using End/Imag, add 3d6, 2 Damage"
116,Accessory,Petaled Bowman's Shield,,3,Action,DR 4,"""What archer carries around such a powerful shield?""
""Is someone saying I can't?""",,,,"Projection Magecraft - This item is summoned into being when needed, and disspelling shortly after leaving the hand or when willed to. Once per turn, you can equipt this item as a free action. Additionally, this item can be wielded in your Genre slot","Imperfect Projection - Bonus Action, 3PP - Until the end of next round, as long as you don't do anything else, you gain DDR 3","7-Layered Barrier - Reaction - When targeted by an attack, you can increase your hit threshold to 7 and gain DR 7 until the start of your next turn, or an attack hits while this is active"
121,Accessory,Akhilleus,Microcosm of Civilization,4,Action,DR End,"This iron shield has concentric rings of detailed filigree depicting people going about their daily lives and work, an entire culture encapsulated in a shield. When you look closely, you can almost see them moving.",,,,"Forge God's Gift - If you have this item in your inventory, but not equipped, gain DR 4","Demigod's Bulwark - Bonus Action, 4PP - Until the beginning of your next turn, gain DDR 4 ","World under the Sky - Reaction - Redirect an attack or effect into a miniature world, negating its effect"
122,Accessory,Command Seals,,4,Thriller,Imag +2,"""From this time forward, my sword shall be with you and your fate shall be with me. Now, our contract is complete.""",,,,"Pact of the Magi - You bind a willing creature's spirit  to your own, allowing you to communicate telepathically. Additionally, each creature can consentuially spend the other's PP. This can only be applied to one creature at a time, and the pact is severed if either creature dies","Magi's Command - Bonus Action, 4PP - You command your bound creature, and it follows the order to the best of its ability","Prana Overflowing - Bonus Action - You empower your bound creature, automatically replenishing any of its spent PP and allowing for the next item ability or ultimate to use no PP or not deplete the item."
123,Accessory,Avalon,The Tower at the Edge of the World,5,Action,End +4,"This masterwork sheathe longs for an ever-distand utopia, one just out of reach. The fine gold and lapiz lazuli filigree look incomplete without the proper blade.",,,,"Portent Healing - The PP cost of Excalibur is reduced by 5, the user regains hp equal to their Moxie at the end of their turn","Hallowed Scabbard - Reaction, 5PP - If the wielder dies, the scabbard automatically ressurects them to full HP, this can reduce users' PP into the negatives","King's Dream - Reaction - Through True Magic, you undo a target's turn, skipping it"
124,Accessory,Invisible Air,,4,Art,Agi +3,"The enchantment of wind conceals your blows, and wind is not a force to be trifled with.",,,,Concealment - Your weapon attacks and powers get Threshold Reduction 2. A Know/Inst check against your Threshold with 5 successes nullifies this effect on a creature,"Atmospheric Pocket - Free Action, 4PP - When traveling by vehicle or mech, you can double its speed for an hour","Air Burst - Free Action - Add 20d6 to a weapon attack or power, and reduce its PP cost by 2"
